#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A963CD
#Date Time: 2022-02-24 14:41:31.894
#Sample rate: 363636Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 200 Hz
#Period: 5 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 ?

Time (s),Channel 1 (V),Channel 2 (V)
-0.022116124698633804,-1.0026869278584647,-1.0773958655721951
-0.02211337469863381,-1.0023522186190044,-1.0358548251566249
-0.022110624698633806,-1.002686927858465,-0.9956647128845576
-0.022107874698633807,-1.0023522186190041,-0.9554746006125282
-0.022105124698633807,-1.0023522186190041,-0.9176486125918119
-0.022102374698633805,-1.0023522186190044,-0.8818490167864423
-0.02209962469863381,-1.0026869278584647,-0.8484135452324467
-0.022096874698633806,-1.0023522186190041,-0.8186931260732685
-0.022094124698633807,-1.002686927858465,-0.7926877593090141
-0.022091374698633807,-1.002686927858465,-0.7697219808678649
-0.022088624698633805,-1.0030216370979257,-0.75148445092928
-0.022085874698633805,-1.0026869278584651,-0.7369619733856074
-0.022083124698633806,-1.003021637097926,-0.7268300123086299
-0.022080374698633807,-1.0026869278584651,-0.7214262997342418
-0.022077624698633808,-1.002686927858465,-0.7207508356624408
-0.022074874698633805,-1.002352218619004,-0.7234526919496391
-0.022072124698633806,-1.0020175093795431,-0.7308827967394278
-0.022069374698633806,-1.0020175093795431,-0.7420279539241031
-0.022066624698633807,-1.0026869278584647,-0.7568881635036703
-0.022063874698633808,-1.0030216370979257,-0.775463425478136
-0.022061124698633805,-1.0026869278584647,-0.7964028117039185
-0.022058374698633806,-1.0020175093795431,-0.8203817862527655
-0.022055624698633806,-1.0020175093795431,-0.8463871530170198
-0.022052874698633804,-1.0020175093795431,-0.8740811799607973
-0.022050124698633808,-1.0020175093795431,-0.9027884030122076
-0.022047374698633805,-1.002017509379543,-0.9328465542072817
-0.022044624698633806,-1.0016828001400824,-0.9629047054023152
-0.022041874698633807,-1.0023522186190041,-0.9922873925255635
-0.022039124698633804,-1.0020175093795425,-1.0213323476129388
-0.022036374698633808,-1.0013480909006216,-1.050039570664349
-0.022033624698633805,-1.002017509379543,-1.0763826694645273
-0.022030874698633806,-1.0016828001400824,-1.1017125721569714
-0.022028124698633807,-1.0016828001400824,-1.1240028865263323
-0.022025374698633804,-1.0010133816611606,-1.144266808680313
-0.022022624698633808,-1.0010133816611606,-1.162166606582949
-0.022019874698633805,-1.0013480909006216,-1.176689084126645
-0.022017124698633806,-1.0016828001400824,-1.1885097053831188
-0.022014374698633807,-1.0016828001400824,-1.1969530062806042
-0.022011624698633804,-1.0010133816611608,-1.2026944508908963
-0.022008874698633808,-1.0013480909006212,-1.2050585751421876
-0.022006124698633805,-1.0016828001400824,-1.2040453790344898
-0.022003374698633806,-1.0016828001400824,-1.1999925946036987
-0.022000624698633807,-1.002017509379543,-1.1932379538857136
-0.021997874698633804,-1.0016828001400826,-1.1831059928087173
-0.02199512469863381,-1.002017509379543,-1.170947639516361
